,explicit,key,mode,danceability,loudness,speechiness,energy,valence,acousticness,tempo,instrumentalness,liveness,popularidad_predicha
Song_1,0,2,0,0.58,-34.00,0.46,0.29,0.23,0.78,67.27,0.31,0.12,60.36
Song_2,1,7,1,0.13,-49.79,0.18,0.47,0.00,0.26,168.14,0.81,0.99,64.68
Song_3,0,6,0,0.23,-29.11,0.16,0.83,0.51,0.44,153.66,0.74,0.74,60.13
Song_4,0,2,1,0.34,-54.92,0.36,0.27,0.77,0.63,89.91,0.77,0.41,60.81
Song_5,0,5,1,0.20,-23.01,0.57,0.34,0.13,0.97,121.78,0.11,0.99,59.80
Song_6,1,3,1,0.15,-45.50,0.42,0.38,0.53,0.03,151.84,0.13,0.56,62.47
Song_7,0,10,1,0.06,-16.51,0.60,0.38,0.31,0.52,62.14,0.30,0.81,59.87
Song_8,0,4,0,0.87,-23.56,0.71,0.20,0.84,0.94,154.80,0.10,0.08,60.16
Song_9,0,10,0,0.29,-15.22,0.75,0.92,0.10,0.26,116.22,0.52,0.94,60.46
Song_10,1,4,0,0.29,-15.02,0.40,0.79,0.85,0.11,73.28,0.53,0.95,59.80
Song_11,0,6,0,0.21,-48.20,0.72,0.98,0.61,0.60,82.90,0.35,0.86,60.49
Song_12,0,10,0,0.48,-59.96,0.14,0.37,0.92,0.15,119.73,0.41,0.16,61.47
Song_13,0,4,0,0.51,-38.05,0.51,0.05,0.94,0.88,147.69,0.10,0.00,60.08
Song_14,0,10,1,0.21,-4.86,0.07,0.12,0.81,0.72,108.21,0.68,0.90,59.68
Song_15,1,2,0,0.61,-25.33,0.24,0.36,0.53,0.12,75.41,0.26,0.31,62.85
Song_16,0,9,0,0.72,-16.35,0.58,0.91,0.14,0.58,175.68,0.78,0.36,60.01
Song_17,1,4,0,0.37,-7.23,0.74,0.98,0.23,0.03,130.04,0.77,0.47,59.88
Song_18,1,6,1,0.59,-5.64,0.10,0.82,0.42,0.85,99.61,0.59,0.32,61.29
Song_19,1,4,0,0.50,-28.26,0.21,0.24,0.73,0.21,155.66,0.44,0.59,63.75
Song_20,0,4,1,0.20,-27.54,0.99,0.66,0.54,0.73,107.08,0.21,0.40,58.75
Song_21,1,8,0,0.73,-8.94,0.34,0.60,0.44,0.11,110.64,0.94,0.73,61.35
Song_22,0,2,0,0.80,-11.55,0.28,0.82,0.48,0.47,98.87,0.90,0.03,60.27
Song_23,1,5,0,0.65,-18.07,0.09,0.51,0.74,0.93,110.53,0.75,0.21,61.15
Song_24,1,0,1,0.32,-23.73,0.69,0.32,0.03,0.07,96.73,0.92,0.91,63.27
Song_25,1,9,1,0.93,-22.97,0.51,0.02,0.44,0.30,197.54,0.90,0.05,63.02
Song_26,1,4,0,0.46,-38.23,0.16,0.80,0.57,0.78,96.05,0.52,0.48,62.25
Song_27,1,7,0,0.27,-9.54,0.63,0.53,0.59,0.46,150.59,0.21,0.18,60.59
Song_28,1,4,0,0.41,-22.93,0.53,0.53,0.62,0.65,86.90,0.20,0.78,61.53
Song_29,1,8,1,0.69,-46.59,0.56,0.96,0.05,0.81,137.95,0.50,0.52,62.61
Song_30,1,10,1,0.85,-45.61,0.99,0.49,0.56,0.78,131.25,0.72,0.72,62.10
Song_31,0,5,0,0.36,-8.30,0.03,0.32,0.55,0.40,137.52,0.40,0.83,62.17
Song_32,0,7,1,0.23,-22.46,0.91,0.34,0.85,0.43,109.90,0.40,0.75,58.53
Song_33,1,9,1,0.63,-36.08,0.84,0.01,0.76,0.57,181.91,0.07,0.41,61.85
Song_34,1,7,1,0.92,-48.77,0.42,0.12,0.03,0.12,101.70,0.78,0.46,65.59
Song_35,1,2,1,0.18,-23.39,0.88,0.04,0.56,0.87,181.99,0.17,0.66,61.97
Song_36,0,6,0,0.80,-48.94,0.65,0.24,0.69,0.09,116.89,0.90,0.75,60.74
Song_37,1,6,0,0.48,-31.79,0.89,0.06,0.58,0.18,151.32,0.17,0.37,62.50
Song_38,0,9,1,0.80,-19.35,0.59,0.33,0.68,0.94,61.41,0.74,0.78,59.05
Song_39,0,11,1,0.51,-26.08,0.22,0.13,0.12,0.28,121.74,0.75,0.00,60.58
Song_40,0,5,1,0.38,-4.67,0.58,0.92,0.17,0.24,150.95,0.86,0.91,60.37
Song_41,0,11,0,0.70,-57.62,0.18,0.94,0.58,0.43,101.67,0.52,0.60,61.11
Song_42,0,6,0,0.90,-43.21,0.14,0.60,0.80,0.72,105.00,0.40,0.57,60.54
Song_43,1,1,1,0.32,-56.57,0.65,0.81,0.03,0.37,115.58,0.10,0.56,64.80
Song_44,1,8,1,0.46,-48.32,0.95,0.68,0.44,0.87,97.67,0.83,0.04,62.16
Song_45,1,9,1,0.23,-52.56,0.59,0.81,0.99,0.15,144.43,0.42,0.95,62.28
Song_46,1,9,1,0.18,-16.04,0.80,0.64,0.77,0.12,66.88,0.99,0.76,59.50
Song_47,1,0,0,0.78,-37.84,0.17,0.43,0.45,0.08,176.36,0.30,0.72,64.04
Song_48,0,0,0,0.20,-4.50,0.65,0.87,0.10,0.30,194.40,0.44,0.70,61.07
Song_49,1,2,0,0.79,-58.60,0.73,0.44,0.36,0.20,83.19,0.42,0.54,62.74
Song_50,1,2,0,0.43,-20.82,0.04,0.40,0.15,0.46,91.52,0.48,0.62,63.98
Song_51,0,0,0,1.00,-1.77,0.10,0.62,0.92,1.00,192.84,0.22,0.92,60.63
Song_52,1,11,0,0.20,-49.45,0.78,0.94,0.69,0.87,82.98,0.27,0.36,61.88
Song_53,0,6,1,0.09,-33.45,0.44,0.44,0.86,0.89,74.89,0.46,0.60,59.66
Song_54,1,3,1,0.08,-17.89,0.41,0.57,0.90,0.83,171.06,0.77,0.39,61.06
Song_55,0,9,0,0.84,-22.01,0.92,0.49,0.61,0.27,154.87,0.74,0.12,59.98
Song_56,1,1,0,0.44,-26.04,0.99,0.91,0.01,0.23,155.18,0.18,0.14,63.49
Song_57,1,9,0,0.00,-40.39,0.76,0.68,0.56,0.73,91.73,0.53,0.06,62.63
Song_58,0,4,1,0.87,-16.31,0.79,0.42,0.80,0.60,112.63,0.52,0.39,59.60
Song_59,0,5,1,0.88,-20.80,0.21,0.61,0.31,0.21,82.31,0.57,0.35,60.20
Song_60,0,8,1,0.81,-50.23,0.19,0.16,0.93,0.97,82.62,0.31,0.12,60.52
Song_61,0,3,1,0.25,-2.15,0.98,0.34,1.00,0.42,129.40,0.72,0.45,59.53
Song_62,0,1,0,0.37,-26.66,0.70,0.74,0.55,0.81,154.18,0.28,0.21,59.82
Song_63,0,4,1,0.74,-28.47,0.69,0.56,0.53,0.07,104.90,0.33,0.10,59.98
Song_64,0,2,0,0.49,-9.11,0.29,0.31,0.66,0.04,126.55,0.19,0.32,61.28
Song_65,0,1,1,0.15,-21.58,0.89,0.36,0.57,0.46,108.77,0.16,0.67,58.85
Song_66,1,11,1,0.24,-55.53,0.04,0.81,0.16,0.12,188.07,0.88,0.04,63.57
Song_67,1,0,1,0.97,-29.60,0.27,0.54,0.27,0.98,158.48,0.39,0.69,62.69
Song_68,0,9,1,0.15,-13.16,0.18,0.24,0.20,0.81,147.52,0.76,0.14,61.04
Song_69,1,1,0,0.73,-18.00,0.71,0.30,0.07,0.45,162.24,0.76,0.91,60.54
Song_70,1,5,0,0.48,-1.75,0.72,0.47,0.14,0.98,97.51,0.57,0.10,61.30
Song_71,1,7,0,0.75,-58.51,0.53,0.76,0.97,0.24,190.17,0.83,0.19,62.62
Song_72,1,2,0,0.66,-44.33,0.01,1.00,0.55,0.68,87.93,0.00,0.23,64.85
Song_73,0,10,0,0.44,-27.05,0.87,0.19,0.13,0.02,79.33,0.16,0.66,60.21
Song_74,1,8,0,0.35,-22.83,0.96,0.75,0.71,0.37,186.84,0.85,0.81,61.93
Song_75,0,11,0,0.75,-43.54,0.20,0.62,0.48,0.08,96.39,0.94,0.53,60.54
Song_76,1,8,1,0.32,-10.39,0.84,0.53,0.22,0.37,178.77,0.51,0.74,61.01
Song_77,1,1,0,0.79,-50.14,0.97,0.97,0.94,0.38,101.67,0.69,0.89,62.39
Song_78,1,7,1,0.68,-59.95,0.33,0.32,0.22,0.38,101.23,0.16,0.61,63.68
Song_79,0,9,0,0.58,-2.86,0.19,0.18,0.10,0.41,194.09,0.67,0.31,60.71
Song_80,1,10,1,0.37,-36.51,0.98,0.88,0.21,0.62,195.14,0.65,0.15,62.71
Song_81,0,11,0,0.21,-2.55,0.06,0.07,0.91,0.19,194.65,0.11,0.59,61.00
Song_82,1,4,1,0.71,-43.32,0.28,0.82,0.86,0.23,79.21,0.78,0.84,63.00
Song_83,0,3,0,0.09,-56.19,0.74,0.59,0.89,0.65,140.04,0.03,0.19,59.39
Song_84,1,9,0,0.97,-13.65,0.62,0.16,0.92,0.47,65.10,0.98,1.00,60.37
Song_85,0,4,0,0.98,-9.85,0.68,0.23,0.08,0.16,156.11,0.97,0.13,61.15
Song_86,0,3,0,0.13,-30.47,0.71,0.16,0.71,0.79,153.96,0.79,0.04,59.48
Song_87,1,7,1,0.10,-55.57,0.69,0.72,0.66,0.93,198.93,0.49,0.69,62.77
Song_88,0,3,0,0.41,-20.75,0.34,0.15,0.99,0.47,182.89,0.30,0.37,60.51
Song_89,1,9,0,0.96,-49.07,0.31,0.68,0.71,0.61,90.55,0.34,0.67,63.05
Song_90,1,11,1,0.40,-9.04,0.43,0.13,0.79,0.82,122.13,0.10,0.18,62.33
Song_91,1,5,0,0.36,-43.56,0.81,0.80,0.71,0.96,96.02,0.73,0.19,62.52
Song_92,1,1,1,0.70,-9.14,0.94,0.92,0.62,0.97,66.68,0.96,0.50,60.11
Song_93,1,4,1,0.18,-34.38,0.46,0.56,0.55,0.92,113.55,0.24,0.95,62.35
Song_94,1,5,0,0.36,-24.21,0.09,0.97,0.97,0.82,75.08,0.98,0.38,61.67
Song_95,1,4,0,0.29,-12.63,0.94,0.39,0.94,0.43,167.09,0.45,0.07,60.75
Song_96,1,11,1,0.60,-57.57,0.08,0.24,0.44,0.67,114.52,0.14,0.74,63.79
Song_97,1,1,0,0.16,-10.73,0.16,0.18,0.28,0.76,64.37,0.77,0.92,62.10
Song_98,1,6,1,0.55,-51.68,0.87,0.48,0.51,0.09,97.90,0.83,0.36,62.64
Song_99,1,3,0,0.86,-38.49,0.55,0.13,0.75,0.12,106.58,0.34,0.46,63.68
Song_100,0,7,0,0.51,-31.63,0.35,0.88,0.40,0.71,123.45,0.97,0.95,59.76
Song_101,0,6,1,0.68,-6.27,0.93,0.78,0.54,0.67,155.37,0.54,0.75,60.16
Song_102,1,6,0,0.08,-58.65,0.96,0.56,0.30,0.80,170.30,0.03,0.67,62.74
Song_103,1,8,0,0.45,-26.45,0.33,0.72,0.43,0.18,198.01,0.34,0.13,63.64
Song_104,1,0,0,0.09,-21.45,0.87,0.05,0.96,0.94,179.59,0.77,0.58,62.53
Song_105,1,9,1,0.60,-41.01,0.68,0.20,0.21,0.24,124.07,0.20,0.86,64.45
Song_106,1,5,0,0.28,-42.57,0.27,0.62,0.99,0.14,74.77,0.13,0.73,63.23
Song_107,1,5,1,0.29,-30.57,0.94,0.48,0.22,0.32,152.96,0.61,0.12,61.99
Song_108,1,5,0,0.08,-48.77,0.06,0.60,0.32,0.81,119.13,0.30,0.67,64.95
Song_109,1,11,1,0.31,-31.91,0.32,0.09,0.09,0.03,116.78,0.61,0.80,63.91
Song_110,0,5,0,0.51,-14.10,0.40,0.65,0.75,0.23,107.28,0.32,0.38,60.83
Song_111,1,11,0,0.58,-9.28,0.69,0.80,0.02,0.96,83.64,0.77,0.75,62.59
Song_112,0,9,1,0.07,-36.89,0.04,0.55,0.79,0.02,72.43,0.42,0.71,61.20
Song_113,1,6,0,0.65,-22.96,0.89,0.36,0.58,0.28,174.64,0.99,0.33,61.81
Song_114,1,9,1,0.49,-60.00,0.66,0.17,0.75,0.33,85.90,0.37,0.74,62.96
Song_115,0,5,0,0.54,-26.98,0.28,0.27,0.78,0.92,157.98,0.15,0.64,59.83
Song_116,1,0,1,0.83,-1.49,0.66,0.52,0.12,0.85,161.75,0.64,0.31,60.78
Song_117,0,2,0,0.34,-41.26,0.54,0.26,0.02,0.46,103.03,0.73,0.54,62.19
Song_118,1,1,1,0.17,-24.31,0.34,0.78,0.17,0.32,137.87,0.34,0.46,62.68
Song_119,1,5,0,0.55,-14.26,0.03,0.13,0.38,0.94,159.59,0.75,0.05,61.34
Song_120,0,7,1,0.95,-23.46,0.55,0.52,0.07,0.19,78.82,0.34,0.68,61.12
Song_121,1,2,1,0.52,-34.89,0.08,0.50,0.46,0.48,83.71,0.10,0.14,63.87
Song_122,0,9,0,0.83,-50.85,0.81,0.14,0.29,0.42,160.46,0.08,0.24,59.95
Song_123,1,7,1,0.76,-32.18,0.09,0.99,0.36,0.94,99.18,0.48,0.96,62.89
Song_124,0,7,1,0.52,-42.31,0.43,0.82,0.94,0.76,75.01,0.98,0.23,59.98
Song_125,0,4,0,0.65,-18.24,0.43,0.39,0.72,0.46,132.83,0.53,0.39,59.60
Song_126,1,7,0,0.41,-33.49,0.56,0.68,0.66,0.61,172.89,0.53,0.96,61.10
Song_127,1,5,0,0.53,-9.01,0.04,0.72,0.65,0.91,102.86,0.86,0.75,61.67
Song_128,0,4,0,0.51,-48.40,0.20,0.65,0.56,0.83,96.47,0.95,0.68,60.14
Song_129,1,8,0,0.71,-34.94,0.20,0.43,0.51,0.62,89.09,0.18,0.82,62.73
Song_130,1,6,0,0.41,-26.55,0.60,0.89,0.88,0.92,126.74,0.13,0.06,62.30
Song_131,1,7,1,0.10,-52.44,0.26,0.77,0.08,0.38,140.19,0.68,0.89,62.63
Song_132,0,0,1,0.79,-24.73,0.14,0.54,0.29,0.73,78.84,0.61,0.25,60.22
Song_133,0,10,1,0.68,-42.54,0.02,0.00,0.10,0.02,172.20,0.35,0.15,63.58
Song_134,0,1,0,0.95,-46.23,0.84,0.22,0.01,0.58,134.21,0.90,0.83,61.30
Song_135,0,7,0,0.43,-51.49,0.97,0.51,0.01,0.14,138.79,0.54,0.28,62.31
Song_136,0,11,1,0.08,-39.01,0.70,0.90,0.02,0.52,76.46,0.17,0.24,61.44
Song_137,0,8,1,0.12,-4.26,0.41,0.63,0.68,0.25,147.25,0.39,0.79,60.44
Song_138,0,3,0,0.77,-58.14,0.12,0.42,0.11,0.38,154.96,0.88,0.06,60.12
Song_139,0,11,1,0.07,-8.87,0.48,0.05,0.20,0.79,116.53,0.02,0.08,61.92
Song_140,0,9,0,0.91,-36.16,0.46,0.60,0.42,0.06,143.89,0.84,0.81,60.30
Song_141,1,10,0,0.28,-26.30,0.42,0.35,0.27,0.54,92.68,0.95,0.42,62.07
